industry,emp,비율(%),지역
F. 건설업,395.0,20.9,청라국제업무·금융단지
G. 도·소매업,281.0,14.9,청라국제업무·금융단지
I. 숙박·음식점업,267.0,14.1,청라국제업무·금융단지
O. 공공행정,211.0,11.2,청라국제업무·금융단지
L. 부동산업,128.0,6.8,청라국제업무·금융단지
D. 전기·가스·증기,83.0,4.4,청라국제업무·금융단지
J. 정보통신업,66.0,3.5,청라국제업무·금융단지
Q. 보건·사회복지,64.0,3.4,청라국제업무·금융단지
M. 전문·과학·기술,61.0,3.2,청라국제업무·금융단지
P. 교육서비스업,61.0,3.2,청라국제업무·금융단지
H. 운수·창고업,59.0,3.1,청라국제업무·금융단지
R. 예술·스포츠,57.0,3.0,청라국제업무·금융단지
S. 협회·수리·개인,57.0,3.0,청라국제업무·금융단지
N. 사업시설관리,52.0,2.8,청라국제업무·금융단지
C. 제조업,37.0,2.0,청라국제업무·금융단지
K. 금융·보험업,11.0,0.6,청라국제업무·금융단지
